Date,Average Close,Unemployment Rate,Federal Funds Rate,Housing Starts,Personal Savings Rate,Average Hourly Earnings,Money Supply M1,Long-Term Interest Rates,Average Weekly Hours,Personal Consumption Expenditures,Personal Income
2022-11,3917.488595,3.6,0.77,1540,3.1,27.39,20676.3,685.3,41.2,17384.8,21657.1
2022-12,3912.380952,3.6,1.21,1542,2.7,27.53,20606.7,673.6,41,17550,21740.7
2023-01,3960.656531,3.6,2.33,1520,3.2,27.75,20456.6,647.7,40.9,17692.2,22024.3
2023-02,4079.684725,3.5,2.56,1470,3,27.86,20304.2,623.5,41,17804,22121.5
2023-03,3968.559146,3.6,3.78,1420,3.3,28.13,19972.8,601.5,40.8,17892.5,22267.7
2023-04,4121.467362,3.5,4.1,1340,3.4,28.23,19765.1,651.3,40.4,17943.6,22312.3
2023-05,4146.173196,3.6,4.57,1404,4.7,28.42,19362.9,698.9,40.7,18296.5,22648.4
2023-06,4345.372838,3.5,4.65,1342,5.2,28.58,18968.9,669,40.6,18282.6,22757.9
2023-07,4508.075488,3.7,5.06,1583,5.3,28.79,18596.4,735.3,40.8,18407.8,22876.6
2023-08,4457.358674,3.6,5.08,1415,4.8,28.9,18485.8,716.4,40.8,18485.4,22921.4
2023-09,4409.094995,3.8,5.33,1305,4.5,29.09,18271.7,711.3,40.8,18651.6,23094.5
2023-10,4269.400945,3.8,5.33,1363,3.9,29.18,18151.7,703.3,40.7,18791.5,23176.2
2023-11,4460.063314,3.7,5.33,1510,3.7,29.42,18009,727.2,40.5,18903,23241.5
2023-12,4685.051489,3.7,5.33,1568,3.6,29.51,18012.3,741,40.3,19013.7,23311.6
